学习时长,出勤率,家长参与度,资源获取,课外活动,睡眠时间,过往成绩,学习动机水平,网络接入,辅导课程,家庭收入,教师质量,学校类型,同伴影响,体育活动,学习障碍,家长教育水平,家庭距离,性别,考试成绩
17,69,中,中,是,7,70,低,是,0,低,高,公立,中性,3,是,大学,中等,男,61
25,84,高,中,是,5,91,低,是,1,中,中,公立,积极,4,是,研究生,中等,女,70
12,83,低,中,是,7,86,低,是,1,高,中,公立,消极,4,否,大学,近,女,65
22,79,中,中,是,7,91,低,是,0,低,中,公立,积极,4,是,大学,中等,男,66
12,82,低,中,是,10,91,中,是,3,低,中,公立,消极,3,否,研究生,近,男,66
23,80,中,高,是,9,74,中,是,4,中,中,公立,消极,3,否,高中,中等,男,69
20,83,中,中,是,7,68,高,是,1,中,中,公立,积极,1,否,高中,近,女,67
10,89,高,高,是,7,88,中,是,2,高,中,私立,积极,2,否,研究生,近,女,71
27,64,高,高,是,9,68,高,是,1,低,高,私立,中性,4,否,高中,近,男,68
16,90,中,中,否,7,54,高,否,2,中,中,公立,积极,3,否,高中,近,女,67
15,65,高,中,否,5,93,低,是,2,低,中,公立,中性,4,是,高中,近,女,63
21,63,中,中,否,10,70,低,是,1,高,高,私立,积极,2,否,大学,近,女,64
27,99,高,中,是,6,57,中,是,3,低,中,公立,中性,3,否,大学,中等,男,73
14,98,中,中,是,10,82,高,是,1,低,中,私立,积极,3,否,高中,中等,男,69
20,62,高,低,否,8,94,高,是,1,中,中,公立,积极,3,否,高中,近,女,65
23,78,高,低,是,6,93,中,是,0,中,高,私立,积极,5,否,研究生,近,男,70
24,67,高,中,是,4,78,低,是,1,低,高,公立,积极,2,否,高中,近,女,67
21,79,中,低,是,8,54,高,是,3,低,中,公立,积极,3,否,研究生,中等,女,67
18,93,中,高,是,5,85,中,是,0,低,中,公立,积极,3,否,高中,近,男,70
15,98,高,低,否,8,80,低,否,2,高,高,公立,消极,2,否,研究生,近,女,69
21,85,高,中,否,10,61,高,是,2,中,中,公立,中性,2,是,高中,近,男,68
14,74,中,高,否,5,95,高,是,1,低,高,公立,积极,3,是,大学,近,男,66
2,84,低,高,否,8,54,低,是,3,低,低,公立,积极,4,否,,近,男,62
23,72,中,中,是,6,69,低,是,2,高,中,公立,积极,4,否,高中,近,男,67
25,96,中,低,是,9,55,高,是,2,中,高,公立,中性,4,否,高中,中等,男,71
6,95,高,中,是,7,96,中,是,4,低,中,公立,中性,2,否,高中,中等,女,68
14,82,高,中,是,7,52,高,是,3,低,中,公立,消极,2,否,高中,近,女,66
24,73,低,中,是,9,71,高,是,0,低,中,公立,中性,3,否,高中,中等,男,64
32,72,高,中,是,8,93,低,是,1,低,中,私立,中性,4,否,研究生,近,女,71
20,61,低,低,是,6,63,中,是,1,中,高,公立,积极,4,否,大学,远,男,61
16,93,中,高,否,10,55,中,否,2,低,中,公立,中性,2,否,大学,近,男,67
19,78,中,低,是,5,56,低,是,3,高,中,公立,中性,4,否,大学,中等,女,65
28,73,高,中,是,7,70,低,否,0,低,中,私立,消极,6,否,大学,中等,女,66
16,79,高,高,是,6,71,中,是,2,低,高,公立,中性,4,否,高中,近,女,68
15,93,中,中,否,5,86,中,是,0,低,中,公立,中性,2,否,大学,远,男,66
17,65,中,中,否,5,62,中,是,2,中,中,公立,积极,4,否,高中,近,女,63
14,94,低,低,是,7,85,低,是,1,高,中,公立,中性,3,否,高中,中等,女,66
21,96,中,高,否,8,100,中,是,1,高,中,私立,积极,2,否,大学,近,女,73
30,98,中,低,是,9,93,中,是,1,低,低,私立,积极,3,否,高中,近,男,88
22,76,中,中,否,9,82,高,是,0,中,高,私立,中性,4,否,高中,近,男,67
18,69,高,高,是,7,97,中,是,2,中,中,公立,积极,2,否,大学,近,女,69
18,75,中,低,是,6,100,高,是,2,低,中,公立,积极,3,否,高中,近,女,67
11,73,中,高,是,9,79,中,是,1,低,高,公立,中性,2,否,高中,近,男,64
25,67,中,高,是,6,64,中,否,0,低,中,公立,中性,2,否,高中,中等,男,64
20,84,低,中,否,5,96,低,是,1,低,中,公立,消极,2,否,高中,近,男,65
19,79,中,中,否,8,92,高,是,1,中,高,公立,积极,2,否,高中,近,男,68
39,95,中,高,是,9,54,高,是,2,中,中,私立,积极,3,否,高中,中等,男,77
22,61,中,中,是,6,97,高,是,0,低,高,公立,消极,2,是,高中,近,男,63
15,86,高,高,是,10,68,中,是,0,高,中,公立,中性,5,否,大学,近,男,69
17,91,中,中,是,8,66,中,是,3,中,低,公立,积极,2,否,大学,近,男,69
27,90,中,低,否,8,67,中,是,2,中,中,公立,消极,3,否,研究生,近,男,70
21,95,高,中,是,6,66,高,是,1,中,高,公立,积极,4,否,大学,近,男,73
11,89,中,低,是,9,76,中,是,1,中,高,公立,中性,3,否,研究生,远,男,66
26,97,中,低,否,5,79,高,是,2,低,低,私立,积极,3,否,高中,近,女,71
16,73,中,低,是,6,71,中,是,2,高,高,公立,积极,5,否,大学,近,男,66
31,80,中,中,是,6,71,高,是,2,低,高,公立,中性,3,否,高中,近,女,71
26,61,中,低,是,5,87,中,是,3,高,高,公立,积极,2,是,高中,近,男,66
17,60,中,高,是,8,50,高,是,0,低,高,公立,积极,4,否,高中,近,女,63
28,70,高,高,是,8,97,中,是,5,低,低,公立,消极,5,是,高中,近,男,70
20,64,高,中,是,8,86,中,是,1,中,中,公立,中性,2,否,研究生,近,男,66
25,70,中,中,否,7,85,中,是,1,中,中,公立,消极,4,否,高中,近,男,66
23,67,中,中,否,8,71,高,是,2,中,中,公立,中性,4,否,大学,中等,女,66
15,61,中,中,否,7,98,中,是,1,中,中,公立,中性,3,否,高中,近,男,62
16,96,中,中,否,6,50,高,是,1,中,高,公立,积极,3,否,大学,近,男,69
26,60,低,高,是,6,54,低,是,1,低,中,私立,积极,1,否,研究生,中等,男,63
18,89,中,低,是,4,90,低,是,1,高,中,公立,积极,2,是,研究生,近,女,68
18,66,中,高,否,9,87,中,是,1,中,低,私立,积极,3,否,高中,中等,男,64
14,96,低,高,是,9,64,高,是,2,低,高,公立,中性,3,否,研究生,中等,男,69
23,96,低,中,是,10,80,低,是,3,低,高,公立,积极,3,否,高中,近,男,71
32,86,中,中,是,6,77,中,否,2,中,低,私立,消极,4,否,高中,近,男,71
14,87,中,中,否,6,76,中,是,1,低,中,私立,积极,4,否,大学,远,女,66
20,60,中,中,是,4,80,低,是,2,高,中,私立,积极,3,是,大学,中等,男,63
28,99,低,中,是,8,100,低,是,0,中,中,公立,积极,2,否,高中,远,男,72
20,95,中,中,是,8,99,低,否,1,低,中,私立,中性,3,否,大学,近,女,70
23,96,中,低,否,9,99,中,是,0,高,中,私立,中性,2,否,大学,近,女,71
14,86,低,低,是,6,77,中,是,3,高,中,私立,中性,3,否,高中,远,男,65
23,74,中,低,是,8,66,低,是,0,高,中,公立,消极,4,否,研究生,近,女,65
19,96,低,中,否,6,78,高,是,1,低,低,公立,积极,2,否,高中,远,男,67
26,72,高,中,否,9,81,高,是,0,中,高,公立,中性,3,否,高中,近,男,68
27,83,中,中,是,8,66,中,是,3,中,中,公立,积极,4,否,大学,远,女,70
36,64,中,中,是,5,82,中,是,2,中,高,私立,积极,2,否,高中,近,女,70
23,97,低,高,是,7,81,低,是,2,中,高,公立,中性,3,否,高中,近,男,72
22,66,中,高,否,4,95,中,是,1,低,低,公立,中性,5,否,大学,中等,男,65
21,69,中,中,是,5,62,高,是,2,低,中,公立,积极,3,否,高中,近,男,65
18,82,高,中,是,5,85,高,是,3,中,高,私立,中性,4,否,研究生,近,男,71
22,91,高,高,是,6,73,低,是,3,高,中,公立,积极,4,否,研究生,近,男,74
18,85,低,中,否,7,56,低,是,0,低,中,私立,积极,4,否,高中,中等,男,64
21,69,中,中,否,7,66,高,是,1,中,中,私立,中性,4,否,高中,远,女,64
28,60,中,高,是,7,53,低,是,3,低,中,私立,中性,3,否,高中,近,女,65
14,90,低,中,是,7,66,中,是,1,中,中,公立,中性,5,否,大学,近,男,67
27,99,高,中,否,7,53,低,是,2,低,高,公立,中性,3,否,大学,近,男,73
28,92,低,高,否,5,96,高,是,1,中,低,公立,中性,3,否,大学,中等,男,72
19,78,中,中,否,7,55,低,是,0,中,中,公立,积极,3,否,大学,近,男,65
7,96,中,高,否,9,91,中,是,0,低,中,公立,中性,4,否,大学,近,男,67
16,76,中,中,是,7,95,低,是,2,中,中,公立,消极,3,否,高中,,女,66
28,81,高,中,是,8,73,低,是,0,中,高,公立,消极,3,否,研究生,近,男,70
20,79,高,中,否,8,53,中,是,2,中,中,私立,中性,3,否,高中,中等,女,66
14,78,高,高,是,8,80,低,是,1,中,中,公立,中性,1,否,高中,近,女,66
17,91,中,低,是,7,62,低,是,3,高,中,公立,消极,3,否,研究生,近,男,68
25,81,低,中,是,8,59,低,是,3,低,中,公立,积极,4,否,大学,近,男,68
23,73,高,高,否,8,78,低,是,0,高,中,公立,中性,4,否,高中,中等,女,67
19,70,高,中,是,8,68,高,否,1,低,中,公立,积极,3,否,大学,近,女,65
18,62,中,低,是,8,87,中,是,4,低,中,公立,积极,4,否,大学,近,女,64
18,83,高,中,否,5,80,高,是,1,高,高,公立,积极,2,否,大学,近,男,70
14,69,低,中,否,5,91,中,是,0,高,中,公立,积极,3,否,大学,中等,男,63
30,66,中,高,否,6,53,低,否,2,低,中,公立,积极,2,否,高中,近,男,65
18,86,低,中,是,9,62,中,是,4,中,中,公立,消极,2,是,研究生,近,女,67
27,87,中,中,是,7,78,低,是,3,低,中,私立,消极,5,否,高中,近,女,71
29,90,高,中,是,7,94,中,是,1,低,低,私立,中性,4,否,高中,近,女,73
26,80,中,中,否,4,91,低,是,1,低,中,私立,中性,3,否,高中,远,男,67
17,96,高,中,是,7,84,中,是,2,低,高,私立,积极,3,否,大学,近,女,72
22,97,中,中,否,7,79,高,是,2,中,高,公立,积极,0,否,高中,远,男,71
20,92,中,高,是,4,82,高,是,0,中,中,公立,中性,4,否,研究生,近,男,72
15,85,高,高,是,7,61,中,是,1,中,高,公立,消极,3,否,高中,近,男,68
22,72,低,低,是,5,80,中,是,2,低,高,公立,中性,3,否,大学,近,女,65
13,99,高,中,否,6,75,低,是,1,中,中,公立,积极,4,是,大学,远,女,68
27,71,中,低,否,8,69,中,是,1,高,中,公立,积极,4,否,大学,近,男,67
17,68,中,中,否,7,94,高,是,1,高,中,私立,中性,4,否,大学,中等,女,66
21,78,中,低,是,6,91,中,是,0,中,低,私立,中性,1,是,高中,近,男,64
22,62,高,中,否,6,54,中,是,3,低,中,私立,中性,3,否,研究生,近,男,65
18,99,中,中,否,6,99,中,是,0,低,中,公立,中性,3,否,高中,中等,男,69
24,84,中,中,是,7,61,中,是,2,中,中,公立,积极,2,否,高中,远,男,68
17,82,高,高,否,5,61,中,是,3,中,中,公立,中性,4,否,研究生,近,男,69
25,86,中,中,是,9,97,低,是,1,高,中,私立,中性,3,否,高中,中等,男,70
12,80,高,中,否,5,72,中,是,1,高,中,私立,积极,4,是,高中,近,女,65
21,61,中,中,否,4,90,低,是,2,中,低,公立,中性,3,否,高中,近,男,63
32,84,低,中,是,8,64,中,是,1,低,高,私立,积极,3,否,大学,近,女,71
14,89,中,高,是,6,94,低,是,0,低,中,私立,中性,2,否,研究生,近,男,68
16,77,中,中,是,7,92,高,是,5,低,高,公立,积极,3,否,研究生,近,女,70
23,90,中,高,是,8,76,高,是,2,中,低,公立,积极,3,否,高中,近,女,72
21,69,中,中,是,6,85,中,是,3,低,低,公立,中性,1,否,大学,远,女,64
22,69,低,中,否,7,98,低,是,0,低,中,公立,积极,2,否,研究生,中等,男,64
23,66,中,低,是,8,73,高,是,2,高,中,公立,积极,2,否,大学,近,女,66
24,75,中,高,是,9,75,高,是,0,中,高,公立,积极,3,否,大学,远,男,69
27,94,中,低,否,6,86,中,是,2,中,中,私立,中性,2,否,高中,近,女,71
22,93,中,高,是,6,69,高,是,0,高,低,公立,消极,3,是,高中,近,男,69
19,75,高,中,否,8,98,低,是,1,低,中,公立,中性,3,否,研究生,中等,男,67
24,84,低,中,是,7,52,中,是,0,低,高,公立,中性,3,否,高中,近,男,66
31,89,中,中,否,7,70,中,是,2,低,高,公立,积极,2,否,高中,中等,女,71
19,70,中,低,是,9,86,低,是,2,高,中,公立,中性,2,是,高中,近,男,63
14,67,中,低,否,4,71,中,是,0,高,中,公立,中性,4,否,大学,近,女,62
27,99,中,高,否,5,63,中,是,0,中,高,公立,中性,4,否,高中,近,女,73
19,85,高,中,否,4,71,低,是,1,中,高,公立,消极,3,否,高中,远,女,66
7,99,高,中,是,9,94,中,是,3,高,高,公立,积极,2,否,研究生,中等,男,72
25,74,高,低,是,8,77,低,是,1,低,中,公立,中性,2,否,研究生,中等,女,67
17,88,低,低,否,5,67,中,否,0,中,高,公立,中性,3,否,研究生,近,男,65
19,69,中,中,是,7,84,中,是,2,中,中,公立,中性,4,否,高中,近,男,66
22,70,高,中,是,7,81,低,是,3,中,中,公立,中性,2,否,研究生,中等,女,68
21,80,中,高,是,4,78,中,是,1,中,高,私立,中性,4,否,高中,近,女,69
24,73,高,中,是,7,70,中,是,0,高,中,公立,消极,3,否,研究生,近,女,68
17,67,中,高,是,5,54,中,是,0,低,中,公立,消极,2,否,高中,中等,男,61
23,71,高,低,是,8,81,中,是,3,中,高,私立,积极,2,否,高中,近,男,68
18,61,高,低,是,5,71,低,是,3,高,高,私立,中性,3,否,大学,近,男,64
24,88,中,低,是,7,71,低,否,1,低,高,公立,中性,3,否,大学,中等,男,67
24,80,低,高,是,9,62,高,是,3,高,低,公立,中性,3,否,高中,中等,男,68
14,64,中,高,否,8,62,低,是,1,中,高,公立,积极,4,是,高中,中等,男,61
27,67,高,低,否,8,89,低,是,1,低,低,公立,积极,3,否,研究生,近,女,66
17,64,高,低,是,7,74,低,是,2,中,低,公立,积极,2,否,研究生,近,女,64
25,85,低,中,否,5,55,低,是,3,高,中,公立,消极,3,否,高中,中等,女,67
22,64,中,高,否,6,52,低,是,2,高,中,私立,消极,4,否,大学,中等,女,64
31,90,高,高,否,7,61,低,是,0,低,中,公立,积极,3,否,高中,近,男,72
19,61,中,中,否,7,74,低,是,2,高,中,公立,消极,3,否,研究生,远,男,62
18,70,高,中,是,5,81,低,是,2,低,中,私立,消极,2,否,高中,远,女,63
20,96,高,高,否,8,57,低,是,1,低,中,私立,中性,4,否,高中,近,男,70
18,89,高,中,否,5,72,低,是,3,中,中,公立,积极,3,否,大学,中等,男,69
25,63,低,中,是,9,54,中,是,3,中,低,公立,积极,2,否,高中,近,男,64
10,93,低,中,否,7,52,中,是,2,中,中,公立,积极,3,否,研究生,近,男,66
14,80,低,中,是,8,93,中,是,3,低,高,私立,积极,4,否,高中,近,女,67
14,94,高,高,是,8,83,中,是,4,中,低,公立,消极,5,是,研究生,近,女,71
26,84,中,高,是,10,89,中,是,0,低,高,私立,积极,1,否,高中,远,女,70
30,87,低,中,否,7,59,中,是,2,中,中,公立,中性,3,否,高中,中等,男,69
19,100,中,低,否,6,66,高,是,0,低,中,公立,中性,3,否,,中等,男,68
19,69,中,高,是,6,72,中,否,1,低,中,公立,中性,1,否,大学,近,女,64
20,85,高,中,是,9,83,低,是,3,中,中,公立,积极,3,是,大学,近,男,70
27,78,高,低,是,5,77,中,是,0,中,低,私立,中性,3,否,研究生,近,男,69
14,62,中,中,是,6,78,中,是,0,高,,公立,积极,2,否,大学,近,女,63
21,61,低,中,否,7,58,中,是,1,中,低,公立,消极,3,否,高中,近,女,60
26,65,高,低,否,7,74,中,是,2,低,中,公立,消极,4,否,高中,近,女,65
23,86,中,中,否,8,91,中,是,0,低,中,公立,消极,0,否,高中,近,男,67
21,83,中,低,否,5,75,低,是,1,中,中,公立,消极,4,否,大学,近,男,66
26,82,低,高,否,7,60,中,否,3,低,中,公立,中性,3,否,研究生,近,女,68
4,61,低,高,是,7,71,高,是,0,低,低,公立,积极,1,否,研究生,近,男,58
24,79,低,高,是,5,88,中,是,0,中,中,公立,中性,3,否,高中,中等,女,67
16,97,中,中,是,8,57,低,是,0,中,中,公立,积极,4,是,,近,男,68
9,76,中,中,是,7,79,中,是,1,低,中,公立,中性,3,否,高中,近,女,62
23,85,低,高,否,7,98,高,否,2,低,中,公立,消极,3,否,研究生,中等,女,69
28,91,中,高,是,6,69,高,是,1,中,高,私立,中性,4,否,高中,远,男,73
19,91,高,低,否,6,52,中,是,2,低,中,公立,消极,4,是,高中,中等,男,66
26,81,低,中,是,5,82,中,是,0,中,中,公立,消极,5,是,研究生,近,女,67
30,94,中,中,否,8,52,中,是,1,中,低,公立,中性,4,否,高中,近,女,71
28,76,中,中,是,9,60,中,是,1,低,中,公立,中性,2,否,高中,远,男,66
30,96,高,中,是,10,52,中,是,0,高,高,公立,积极,4,否,大学,中等,女,74
24,70,中,高,否,8,59,低,是,2,低,高,公立,积极,5,否,高中,近,男,67
20,71,高,中,否,6,93,高,是,2,中,高,公立,消极,2,否,研究生,近,男,68
10,62,中,中,否,6,87,高,是,2,低,高,公立,中性,3,否,高中,近,男,61
19,92,中,高,否,8,67,中,是,2,中,中,私立,消极,2,否,高中,,女,69
15,77,低,中,是,7,95,低,是,4,低,中,公立,积极,4,否,高中,中等,男,65
33,69,中,高,是,7,83,中,是,2,中,低,公立,中性,2,否,研究生,近,男,71
19,69,中,低,否,7,72,中,是,1,低,低,公立,积极,2,否,高中,远,女,61
21,96,中,高,是,9,53,中,是,0,低,高,公立,中性,3,否,大学,近,男,70
23,93,中,低,否,6,87,中,是,2,中,中,私立,中性,3,否,高中,中等,男,70
20,82,中,高,是,9,69,低,是,1,中,中,公立,积极,3,否,大学,近,男,69
30,85,高,低,是,7,65,高,是,2,低,中,公立,消极,3,否,高中,近,女,70
16,79,高,中,是,6,64,中,是,4,低,低,公立,积极,4,是,大学,近,男,67
21,76,低,中,否,6,50,低,是,2,低,中,公立,消极,4,否,研究生,中等,女,63
16,97,中,中,否,7,87,中,是,1,高,中,公立,中性,3,否,高中,近,女,70
12,65,中,中,否,8,57,中,是,1,高,高,私立,积极,5,是,高中,近,女,61
16,77,低,高,是,6,76,低,是,1,低,中,公立,中性,1,否,研究生,中等,女,64
20,74,中,中,是,8,51,高,是,2,中,中,公立,消极,3,否,大学,近,男,65
17,80,中,中,否,6,81,中,是,1,中,高,公立,中性,1,否,大学,远,男,65
16,78,中,低,是,7,68,高,是,3,低,高,私立,积极,3,否,研究生,远,女,66
12,81,高,高,是,5,82,低,是,1,中,高,公立,积极,3,否,高中,远,女,66
20,66,低,中,是,8,54,中,是,2,中,低,公立,积极,2,否,研究生,近,男,63
11,81,低,高,是,7,63,中,是,3,中,中,公立,中性,2,否,研究生,近,男,66
25,70,中,中,是,9,56,高,是,0,低,中,公立,积极,1,否,高中,远,男,64
20,67,高,低,否,8,82,中,是,3,低,高,公立,中性,4,是,高中,近,男,65
11,63,高,中,否,7,55,低,是,3,高,中,私立,积极,1,否,研究生,近,男,62
18,91,低,高,是,9,81,高,是,4,高,中,公立,中性,5,否,高中,中等,男,71
15,77,中,中,是,8,57,低,是,1,低,中,公立,中性,2,否,大学,近,男,63
22,85,中,高,否,9,97,高,是,0,中,高,公立,消极,3,否,大学,中等,男,70
28,89,中,低,是,6,71,低,是,2,低,中,私立,中性,4,否,大学,中等,男,70
9,87,中,中,否,8,56,中,是,1,中,高,公立,积极,3,否,大学,中等,女,65
21,79,高,高,是,8,52,中,是,1,低,,公立,中性,3,是,高中,近,女,66
19,76,中,低,是,5,66,中,是,2,中,中,私立,积极,4,否,大学,近,女,66
24,75,中,低,否,9,95,高,是,0,中,高,公立,积极,2,否,大学,近,男,68
21,86,高,高,否,5,57,中,是,1,低,中,私立,消极,3,否,高中,近,男,68
15,80,高,中,是,5,90,中,是,4,中,高,私立,中性,3,否,高中,近,女,69
18,94,中,中,是,4,71,中,是,3,高,低,公立,积极,3,否,大学,近,女,71
15,95,中,中,是,8,90,低,是,2,低,,私立,消极,1,否,研究生,近,男,69
26,67,中,高,是,5,94,中,是,0,中,中,公立,积极,2,否,大学,近,男,68
20,65,中,高,是,6,100,中,是,2,低,高,公立,中性,5,否,高中,中等,男,67
31,85,高,中,否,8,53,中,是,2,低,高,公立,积极,3,否,高中,近,男,72
20,72,高,中,是,7,90,高,是,2,中,中,公立,中性,3,否,高中,近,男,68
16,61,高,中,是,6,53,低,是,0,高,中,公立,积极,4,是,高中,中等,女,60
11,96,中,高,否,5,66,高,是,2,低,中,公立,中性,4,否,高中,中等,男,68
9,69,高,中,是,7,82,高,是,1,高,高,公立,积极,2,否,高中,近,女,65
10,97,低,高,否,8,72,高,是,0,低,中,公立,中性,3,否,研究生,中等,女,67
22,89,低,中,否,8,78,低,是,4,高,中,私立,积极,3,否,高中,近,女,70
23,91,中,低,是,10,98,高,是,0,低,高,私立,消极,3,否,高中,近,女,70
11,68,中,中,否,6,91,低,是,3,低,高,公立,消极,2,否,大学,远,女,61
25,69,高,低,是,5,68,中,是,2,高,高,公立,积极,4,否,大学,远,男,68
17,81,中,高,否,7,80,高,是,1,低,中,公立,消极,3,否,研究生,近,女,67
21,67,中,高,否,7,52,中,是,3,低,中,公立,消极,3,是,高中,中等,女,62
30,72,中,低,否,7,73,中,是,0,高,中,公立,中性,4,否,高中,中等,男,66
25,73,高,中,是,6,80,中,是,3,高,中,公立,积极,2,否,高中,远,女,69
18,66,中,高,是,4,86,中,是,2,中,中,公立,消极,4,否,大学,近,女,66
15,68,中,中,是,5,95,中,是,0,高,中,公立,消极,5,否,大学,近,女,64
7,92,高,中,否,8,64,高,是,1,低,低,公立,中性,4,否,研究生,近,男,66
16,67,中,中,否,7,95,低,是,2,中,中,公立,中性,5,是,高中,近,男,63
19,61,低,高,是,8,83,低,是,1,中,中,私立,消极,3,否,高中,近,男,62
14,85,中,中,是,8,54,低,是,1,高,中,私立,消极,4,否,研究生,中等,男,65
19,99,低,高,否,8,69,低,是,0,高,中,私立,消极,2,否,高中,中等,男,68
20,73,高,高,是,8,74,低,是,1,低,低,私立,消极,4,否,高中,中等,男,65
19,65,中,高,是,7,68,低,是,1,低,低,公立,中性,4,否,大学,近,女,63
16,83,高,高,是,7,56,中,是,3,中,中,公立,消极,2,否,高中,近,男,68
21,96,中,高,是,4,78,低,是,2,高,中,私立,积极,2,否,高中,近,男,72
23,91,高,低,否,6,57,中,是,2,低,中,私立,积极,3,否,高中,近,男,69
13,85,低,中,否,6,96,低,是,1,低,高,公立,积极,5,否,研究生,远,男,66
28,73,低,低,是,7,93,高,是,2,低,高,私立,中性,3,否,大学,近,男,68
19,82,低,低,否,6,74,中,是,1,中,高,公立,中性,2,否,高中,中等,男,64
20,64,中,低,是,8,53,低,是,1,低,中,公立,积极,2,否,高中,近,男,61
24,87,低,中,否,6,78,高,是,0,低,低,公立,中性,2,是,研究生,近,男,67
21,89,中,低,是,9,80,中,是,0,中,低,公立,中性,3,否,研究生,中等,男,68
26,99,中,中,否,6,94,高,是,2,中,中,公立,积极,3,否,高中,近,男,74
22,70,中,高,是,6,53,中,是,3,中,高,公立,积极,2,否,高中,近,女,67
16,61,中,高,是,6,85,中,是,2,中,中,私立,积极,3,否,高中,近,男,64
22,82,低,高,否,6,78,中,是,3,中,高,公立,中性,3,否,高中,中等,男,69
13,88,高,中,是,9,59,中,是,0,低,中,私立,消极,3,是,高中,远,女,63
21,92,中,中,否,7,56,中,是,0,低,中,私立,中性,4,否,高中,中等,女,67
20,68,高,中,是,7,85,中,是,1,中,中,公立,中性,3,否,大学,远,男,65
19,70,中,中,是,6,67,中,是,5,中,低,公立,积极,4,否,研究生,中等,女,67
19,81,高,中,否,7,100,中,是,1,低,中,私立,消极,5,否,研究生,中等,女,68
9,73,中,低,是,7,95,中,否,3,低,中,私立,消极,3,否,研究生,近,男,62
17,94,高,中,是,7,78,中,是,1,低,高,公立,中性,3,否,大学,近,女,70
21,79,低,高,是,7,82,中,是,1,高,中,公立,消极,3,否,高中,近,女,67
21,92,高,高,是,9,58,中,是,2,高,中,公立,中性,5,否,高中,中等,女,89
14,83,高,中,是,7,95,低,是,1,低,中,私立,中性,2,是,高中,近,女,65
28,91,低,中,是,5,73,中,否,2,中,中,公立,中性,2,否,高中,近,女,69
15,73,中,中,否,7,76,高,是,2,低,中,公立,积极,4,否,高中,远,女,64
26,93,高,低,否,6,94,中,是,6,高,中,私立,消极,4,否,高中,近,女,74
23,71,中,高,否,8,50,中,是,0,高,中,公立,积极,2,否,高中,远,女,64
16,82,低,高,否,7,75,中,是,0,低,中,公立,消极,2,否,研究生,中等,女,64
31,69,中,低,是,9,81,中,是,2,中,中,私立,消极,2,否,大学,近,男,67
13,79,低,低,是,6,58,高,是,2,中,中,公立,积极,4,否,大学,中等,男,63
26,73,高,中,是,7,53,低,是,3,中,高,私立,中性,5,否,高中,中等,女,68
26,71,低,中,是,5,77,低,是,0,中,中,公立,中性,5,否,研究生,近,男,66
16,99,低,高,是,7,77,高,是,0,低,中,公立,中性,3,是,高中,中等,女,68
28,66,中,高,否,5,67,中,是,1,高,中,私立,积极,1,否,研究生,中等,女,68
18,91,中,中,否,7,94,中,是,3,低,中,私立,中性,2,否,高中,近,女,69
22,99,高,低,否,7,65,中,是,3,低,低,公立,中性,3,否,研究生,近,女,71
22,61,低,高,是,7,76,中,是,1,高,中,公立,积极,3,否,大学,近,女,65
19,88,低,中,是,8,59,中,是,2,中,中,私立,中性,4,否,高中,近,男,67
25,70,中,中,否,7,51,中,是,1,高,中,公立,消极,4,否,大学,近,女,65
25,62,高,中,否,5,71,中,是,0,低,高,私立,积极,4,否,高中,中等,男,65
10,76,中,低,否,6,76,中,是,1,高,高,公立,消极,2,否,研究生,近,男,80
28,97,中,中,是,7,88,高,是,2,中,中,公立,中性,2,否,高中,中等,男,74
10,60,中,中,否,7,72,低,否,3,中,低,公立,积极,3,否,高中,近,男,59
26,84,中,中,否,7,64,低,是,2,高,高,公立,中性,3,否,高中,近,男,69
27,80,中,低,是,9,80,中,是,0,高,中,公立,中性,2,是,高中,中等,男,66
13,95,中,中,是,7,69,中,是,1,低,低,公立,积极,2,是,研究生,中等,女,66
18,63,高,高,否,8,62,中,是,2,高,中,公立,积极,4,否,高中,近,女,65
13,87,高,中,是,4,96,低,是,3,低,低,公立,中性,3,是,大学,近,男,67
19,87,高,高,否,8,77,低,是,3,低,中,私立,中性,4,否,高中,中等,男,69
18,87,中,低,是,10,60,高,是,2,中,中,公立,积极,3,否,高中,近,女,68
25,98,中,中,是,9,84,中,是,1,中,高,私立,中性,2,否,研究生,近,女,73
28,93,低,高,是,6,90,中,是,1,低,中,公立,积极,2,是,高中,近,女,71
28,62,高,中,是,10,88,中,是,0,低,高,公立,积极,2,是,研究生,中等,男,67
17,79,中,中,是,7,80,低,是,1,高,高,公立,积极,3,否,大学,近,女,67
19,76,高,低,否,7,76,中,是,0,高,高,公立,中性,2,否,研究生,近,男,66
10,72,中,低,否,7,89,中,是,3,中,中,公立,消极,4,否,大学,近,女,63
15,78,高,高,否,7,85,中,否,1,高,中,公立,消极,1,否,高中,远,男,65
26,75,中,低,是,4,79,中,是,2,高,中,公立,消极,1,否,大学,近,男,67
30,77,中,低,是,8,83,中,是,1,低,低,公立,积极,3,否,大学,近,男,69
13,99,中,中,是,7,58,中,是,1,低,中,公立,中性,2,否,高中,近,男,67
16,64,高,中,是,7,51,高,是,4,高,高,公立,中性,3,否,大学,近,男,66
20,97,高,高,是,7,97,低,是,2,中,高,私立,中性,4,否,高中,中等,女,74
22,79,高,中,否,6,97,中,否,2,高,,公立,积极,2,否,大学,中等,女,69
15,85,低,中,是,7,89,高,是,0,中,中,公立,消极,4,否,大学,中等,女,66
23,93,高,低,是,9,69,低,是,0,中,中,私立,积极,3,是,研究生,中等,男,69
